"","xcoord","ycoord"
"159",40.75987765,-73.91903816
"160",40.76441589,-73.91311956
"161",40.7615587,-73.91324241
"162",40.76659543,-73.90982434
"163",40.75656465,-73.9151042
"164",40.7558895,-73.91517725
"165",40.75766785,-73.91484652
"166",40.76257575,-73.90808262
"167",40.76377435,-73.90702687
"168",40.76357926,-73.9067564
"169",40.75931031,-73.90910144
"170",40.75885806,-73.9099034
"171",40.76126331,-73.90752853
"172",40.77343348,-73.89775985
"173",40.7724005,-73.90300009
"174",40.77207517,-73.9045458
"175",40.77420682,-73.91011731
"176",40.77080917,-73.9141582
"177",40.77423853,-73.91574961
"178",40.77740817,-73.91138394
"179",40.77443293,-73.91891215
"180",40.77316707,-73.92212696
"181",40.77285769,-73.92328265
"182",40.77526014,-73.92042034
"183",40.77405178,-73.92347263
"184",40.77346366,-73.92653856
"185",40.77448095,-73.92497771
"186",40.78354442,-73.91745666
"187",40.7820293,-73.91741521
"188",40.78215065,-73.91823112
"189",40.7761461,-73.92784985
"190",40.74424244,-73.86747948
"191",40.74489904,-73.86563403
"192",40.75645983,-73.86321761
"193",40.75696019,-73.85933632
"194",40.75666689,-73.85965097
"195",40.75235387,-73.87049876
"196",40.75404381,-73.86735892
"197",40.75353211,-73.86633849
"198",40.75575991,-73.86320461
"199",40.75348931,-73.86262455
"200",40.75145817,-73.86031883
"201",40.7537756,-73.85877999
"202",40.75295989,-73.85835221
"203",40.75364048,-73.8560516
"204",40.74372414,-73.86317879
"205",40.74372414,-73.86317879
"206",40.73919101,-73.86654408
"207",40.73916037,-73.86615442
"208",40.73909721,-73.86612928
"209",40.73822759,-73.86418243
"210",40.7384665,-73.86427937
"211",40.74181351,-73.8606494
"212",40.74195735,-73.85931387
"213",40.74095825,-73.85930515
"214",40.74283762,-73.85644303
"215",40.73912638,-73.85398998
"216",40.73861126,-73.85041504
"217",40.7475025,-73.85992652
"218",40.75044771,-73.85555682
"219",40.74851116,-73.8565463
"220",40.7453197,-73.8549039
"221",40.74458712,-73.85512202
"222",40.75079434,-73.85400772
"223",40.75084155,-73.8522788
"224",40.74888708,-73.86793221
"225",40.74888708,-73.86793221
"226",40.74669692,-73.86806286
"227",40.7450107,-73.86488677
"228",40.74515467,-73.86360532
"229",40.75533929,-73.87218218
"230",40.75615707,-73.8695926
"231",40.75601193,-73.86747772
"232",40.7565148,-73.86798205
"233",40.75628583,-73.86698268
"234",40.75675481,-73.86199698
"235",40.75771083,-73.85817245
"236",40.75757028,-73.85771073
"237",40.75364439,-73.87092937
"238",40.75407485,-73.87051707
"239",40.75537993,-73.86686176
"240",40.75546408,-73.86605669
"241",40.75302107,-73.86827772
"242",40.75409021,-73.86713504
"243",40.75362065,-73.8669519
"244",40.75430038,-73.86611678
"245",40.75343005,-73.86590557
"246",40.75427943,-73.86463336
"247",40.75597704,-73.86115758
"248",40.75568582,-73.85867126
"249",40.75468932,-73.85855066
"250",40.75574673,-73.85910427
"251",40.7552539,-73.85786727
"252",40.75550933,-73.85800028
"253",40.75586518,-73.85721626
"254",40.75144096,-73.86903518
"255",40.7519919,-73.8683736
"256",40.7499017,-73.86711453
"257",40.75083585,-73.86555709
"258",40.75147229,-73.86526707
"259",40.75284443,-73.86506217
"260",40.75296774,-73.86489228
"261",40.75259169,-73.86487139
"262",40.75291725,-73.8639684
"263",40.74977906,-73.86550148
"264",40.75049169,-73.86233117
"265",40.75297409,-73.86099781
"266",40.75297409,-73.86099781
